,ID,duration,gamePeriod,health,number_alive,time,x,y
3966,31,869,3.5,82.19998168945312,17,20:56:53,2438.074375,1096.972890625
3967,71,869,3.5,100,17,20:56:53,2056.25375,1420.50421875
3968,72,869,3.5,100,17,20:56:53,1701.3875,1265.43515625
3969,61,872,3.5,100,17,20:56:56,2393.14046875,1262.96984375
3972,89,873,3.5,100,17,20:56:57,1734.884375,847.124453125
3971,39,873,3.5,100,17,20:56:57,1940.73890625,1152.89796875
3970,75,873,3.5,100,17,20:56:57,2547.4409375,716.397109375
3973,90,874,3.5,62.99994659423828,17,20:56:58,1954.91515625,1796.24734375
3974,53,875,3.5,100,17,20:56:59,2140.5953125,1022.69078125
3975,93,876,3.5,100,17,20:57:00,2416.06671875,971.458359375
3976,55,877,3.5,100,17,20:57:01,1545.600625,1318.8584375
3977,2,878,3.5,62.31946563720703,17,20:57:02,2516.6053125,2319.5146875
3978,5,878,3.5,84,17,20:57:02,2035.98015625,1384.340625
3979,85,878,3.5,34.51505661010742,17,20:57:02,1663.26140625,1441.5478125
3980,20,879,3.5,100,17,20:57:03,1574.5328125,1253.80890625
3981,28,879,3.5,100,17,20:57:03,1973.33453125,1230.11765625
3982,30,879,3.5,75.16250610351562,17,20:57:03,1566.329375,1328.90640625
3983,31,879,3.5,82.19998168945312,17,20:57:03,2438.074375,1096.972890625
3984,71,879,3.5,100,17,20:57:03,2059.9509375,1419.70109375
3985,72,879,3.5,100,17,20:57:03,1720.898125,1271.088671875
3986,61,882,3.5,100,17,20:57:06,2382.38234375,1261.637890625
3987,75,883,3.5,100,17,20:57:07,2546.0746875,718.378046875
3988,39,883,3.5,100,17,20:57:07,1937.355,1152.137109375
3989,89,883,3.5,100,17,20:57:07,1734.884375,847.124453125
4474,55,884,3.5,0,17,20:57:08,1545.600625,1318.8584375
3990,90,884,3.5,58.99995803833008,17,20:57:08,1973.683125,1778.5609375
3991,53,885,3.5,100,16,20:57:09,2140.5953125,1022.69078125
3992,93,886,3.5,100,16,20:57:10,2416.06671875,971.458359375
3993,55,887,3.5,0,16,20:57:11,1545.600625,1318.8584375
3996,85,888,3.5,35.91505813598633,16,20:57:12,1634.03453125,1388.9990625
